Year,Month,District,Accident,Deaths,Injured
2011,1,Jongno,115,2,165
2011,2,Jongno,99,0,134
2011,3,Jongno,116,0,162
2011,4,Jongno,110,1,153
2011,5,Jongno,122,0,157
2011,6,Jongno,116,3,163
2011,7,Jongno,103,1,154
2011,8,Jongno,122,1,171
2011,9,Jongno,121,2,166
2011,10,Jongno,135,2,193
2011,11,Jongno,140,1,204
2011,12,Jongno,122,1,172
2011,1,Jung,108,0,159
2011,2,Jung,86,0,112
2011,3,Jung,141,0,183
2011,4,Jung,128,3,175
2011,5,Jung,121,1,165
2011,6,Jung,115,1,156
2011,7,Jung,119,1,154
2011,8,Jung,117,1,154
2011,9,Jung,140,1,181
2011,10,Jung,147,2,203
2011,11,Jung,132,3,172
2011,12,Jung,143,0,211
2011,1,Yongsan,98,0,141
2011,2,Yongsan,92,1,134
2011,3,Yongsan,88,2,132
2011,4,Yongsan,103,1,149
2011,5,Yongsan,104,1,151
2011,6,Yongsan,98,0,143
2011,7,Yongsan,102,0,151
2011,8,Yongsan,104,1,146
2011,9,Yongsan,75,1,107
2011,10,Yongsan,109,1,157
2011,11,Yongsan,107,1,156
2011,12,Yongsan,90,0,137
2011,1,Seongdong,90,2,130
2011,2,Seongdong,80,2,119
2011,3,Seongdong,80,1,121
2011,4,Seongdong,109,1,139
2011,5,Seongdong,98,0,135
2011,6,Seongdong,99,2,131
2011,7,Seongdong,106,1,144
2011,8,Seongdong,77,1,96
2011,9,Seongdong,109,3,160
2011,10,Seongdong,102,4,132
2011,11,Seongdong,104,1,157
2011,12,Seongdong,100,3,139
2011,1,Gwangjin,90,3,140
2011,2,Gwangjin,94,1,128
2011,3,Gwangjin,113,1,159
2011,4,Gwangjin,122,1,164
2011,5,Gwangjin,115,5,151
2011,6,Gwangjin,103,2,150
2011,7,Gwangjin,114,2,184
2011,8,Gwangjin,130,1,188
2011,9,Gwangjin,136,2,183
2011,10,Gwangjin,129,1,186
2011,11,Gwangjin,146,1,202
2011,12,Gwangjin,138,3,198
2011,1,Dongdaemun,129,0,180
2011,2,Dongdaemun,119,2,178
2011,3,Dongdaemun,120,1,161
2011,4,Dongdaemun,142,3,191
2011,5,Dongdaemun,158,1,257
2011,6,Dongdaemun,152,0,186
2011,7,Dongdaemun,172,1,214
2011,8,Dongdaemun,145,3,204
2011,9,Dongdaemun,157,0,213
2011,10,Dongdaemun,155,0,208
2011,11,Dongdaemun,163,2,221
2011,12,Dongdaemun,165,0,218
2011,1,Jungnang,134,0,165
2011,2,Jungnang,113,1,146
2011,3,Jungnang,137,0,195
2011,4,Jungnang,149,1,191
2011,5,Jungnang,167,2,223
2011,6,Jungnang,134,1,181
2011,7,Jungnang,159,4,213
2011,8,Jungnang,148,2,192
2011,9,Jungnang,174,0,239
2011,10,Jungnang,161,0,237
2011,11,Jungnang,167,0,224
2011,12,Jungnang,139,1,180
2011,1,Seongbuk,115,0,153
2011,2,Seongbuk,89,1,121
2011,3,Seongbuk,113,1,161
2011,4,Seongbuk,124,1,172
2011,5,Seongbuk,158,4,197
2011,6,Seongbuk,157,2,219
2011,7,Seongbuk,135,2,191
