,광역시도,시군,pop,moon,hong,ahn
0,서울특별시,종로구,102566,42512,22325,22313
1,서울특별시,중구,82852,34062,17901,19372
2,서울특별시,용산구,148157,58081,35230,32109
3,서울특별시,성동구,203175,86686,40566,45674
4,서울특별시,광진구,240030,105512,46368,52824
5,서울특별시,동대문구,236092,98958,51631,53359
6,서울특별시,중랑구,265706,111450,56545,62778
7,서울특별시,성북구,295866,129263,57584,66518
8,서울특별시,강북구,210614,89645,42268,51669
9,서울특별시,도봉구,229233,94898,47461,55600
10,서울특별시,노원구,374213,158167,67590,96325
11,서울특별시,은평구,317275,140180,60109,72582
12,서울특별시,서대문구,212076,93768,40513,46237
13,서울특별시,마포구,256992,117336,46547,52545
14,서울특별시,양천구,310886,133853,60814,71816
15,서울특별시,강서구,397108,175882,76601,88128
16,서울특별시,구로구,278805,121077,59194,61734
17,서울특별시,금천구,155010,67423,31106,36695
18,서울특별시,영등포구,248833,105834,53615,53994
19,서울특별시,동작구,276685,121722,54431,60305
20,서울특별시,관악구,351240,159854,59914,79495
21,서울특별시,서초구,292916,106416,74891,63977
22,서울특별시,강남구,365642,128927,97639,80201
23,서울특별시,송파구,441198,177328,98549,99018
24,서울특별시,강동구,297476,122511,65893,67499
25,부산광역시,중구,28604,9918,10684,4675
26,부산광역시,서구,71446,24522,26360,11868
27,부산광역시,동구,58304,19606,22188,9815
28,부산광역시,영도구,78013,30094,25345,13082
29,부산광역시,부산진구,246124,95042,79545,40636
30,부산광역시,동래구,181098,67947,59616,30208
31,부산광역시,남구,181922,68566,59137,30943
32,부산광역시,북구,203689,83611,61175,32712
33,부산광역시,해운대구,266870,102106,80904,48325
34,부산광역시,기장군,94393,39412,26556,15909
35,부산광역시,사하구,211876,82452,65252,36713
36,부산광역시,금정구,164127,60169,54418,26729
37,부산광역시,강서구,68633,30783,18711,10629
38,부산광역시,연제구,137602,52454,44221,23321
39,부산광역시,수영구,119064,43702,39832,20319
40,부산광역시,사상구,149868,61743,46540,23023
41,대구광역시,중구,52180,11477,24698,7170
42,대구광역시,동구,226510,47350,100166,31351
43,대구광역시,서구,127659,22004,68782,17808
44,대구광역시,남구,100059,19862,50304,13978
45,대구광역시,북구,276725,62526,121368,42369
46,대구광역시,수성구,285528,64922,123074,43698
47,대구광역시,달서구,374766,82726,165781,57956
48,대구광역시,달성군,137920,31753,60032,21427
49,인천광역시,중구,69220,28030,16139,15405
50,인천광역시,동구,44672,16501,11446,10479
51,인천광역시,남구,254020,96338,60603,61034
52,인천광역시,연수구,208175,85853,41920,48166
53,인천광역시,남동구,327425,136132,66178,77693
54,인천광역시,부평구,345398,146859,66560,82590
55,인천광역시,계양구,205824,88890,37234,48622
56,인천광역시,서구,306672,132399,56236,72248
57,인천광역시,강화군,43938,12153,17041,9559
58,인천광역시,옹진군,14747,3935,5834,3092
59,광주광역시,동구,66287,37053,1308,23438
60,광주광역시,서구,204787,124183,3182,62218
61,광주광역시,남구,146037,85642,2521,47663
62,광주광역시,북구,292001,177850,4241,88501
63,광주광역시,광산구,248209,159119,3630,65402
64,대전광역시,동구,143823,57580,33015,34729
65,대전광역시,중구,157397,62115,37657,37504
66,대전광역시,서구,307774,133604,59593,70732
67,대전광역시,유성구,218087,103313,35445,47081
68,대전광역시,대덕구,118816,47933,25666,28723
69,울산광역시,중구,157051,56657,47625,26458
70,울산광역시,남구,219569,80662,63331,39040
71,울산광역시,동구,109054,44931,23701,19290
72,울산광역시,북구,122933,52058,26596,20115
73,울산광역시,울주군,136353,48486,42349,23617
74,세종특별자치시,세종특별자치시,152801,77767,23211,32010
75,경기도,수원시장안구,190917,81392,37143,43344
76,경기도,수원시권선구,222078,95263,42801,51061
77,경기도,수원시팔달구,123458,49814,27782,28228
78,경기도,수원시영통구,220307,105181,33354,46872
79,경기도,성남시수정구,149414,63867,28395,36752
80,경기도,성남시중원구,146801,62729,27896,36512
81,경기도,성남시분당구,338076,139853,71332,74040
82,경기도,의정부시,270404,110580,57027,65003
83,경기도,안양시만안구,167995,70454,35189,38671
84,경기도,안양시동안구,230674,101278,43072,51966
85,경기도,부천시,543777,239697,100544,128297
86,경기도,광명시,218795,97959,39081,51958
87,경기도,평택시,273677,104574,62827,64057
88,경기도,양주시,121344,46286,29739,28469
89,경기도,동두천시,55487,19444,15733,12808
90,경기도,안산시상록구,226266,98564,39723,55067
91,경기도,안산시단원구,187253,80771,33862,45779
92,경기도,고양시덕양구,287087,120063,55157,61581
93,경기도,고양시일산동구,188297,81622,34980,41166
94,경기도,고양시일산서구,192610,85919,35147,41563
95,경기도,과천시,40789,16528,9055,8736
96,경기도,의왕시,103913,43869,21218,23602
97,경기도,구리시,123469,51181,26113,28698
98,경기도,남양주시,397972,165079,86026,92048
99,경기도,오산시,118683,52358,21829,27201
100,경기도,화성시,386002,176940,69014,84967
101,경기도,시흥시,239227,103732,43248,58119
102,경기도,군포시,186084,82551,34784,41883
103,경기도,하남시,138937,57298,31793,30999
104,경기도,파주시,256847,107148,55347,54921
105,경기도,여주시,65695,20474,21581,14545
106,경기도,이천시,121841,44109,33301,26695
107,경기도,용인시처인구,134872,50423,33153,32027
108,경기도,용인시수지구,225513,95325,50229,47125
